Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot40,"Jewell Trueman",hard,37,Failed,"Vitamins - Part 1","Item Chemical container #2","1","01:31:43","01:33:30",
Bot41,"Bobbie Godina",hard,40,Failed,"Hot Delivery","Zone place_merch_020_2","1","01:31:45","01:32:35",
Bot42,"Faustino Bode",hard,29,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","01:31:45","01:33:27",
Bot43,"Макей Краевский",hard,25,Archived,"North Construction Site","North Construction Site: Objective #3","1","01:31:46","01:33:07",
Bot43,"Макей Краевский",hard,25,Archived,"North Construction Site","North Construction Site: Objective #1","1","01:33:12","01:33:15",
Bot43,"Макей Краевский",hard,25,Archived,"North Construction Site","North Construction Site: Objective #2","1","01:33:20","01:33:23",
Bot43,"Макей Краевский",hard,25,Completed,"Database - Part 1","Item IDEA cargo manifests","1","01:33:28","01:36:42",
Bot43,"Макей Краевский",hard,25,Failed,"Database - Part 1","Item Goshan cargo manifests","1","01:36:47","01:40:13",
Bot43,"Макей Краевский",hard,25,Completed,"Database - Part 1","Item OLI cargo manifests","1","01:40:19","01:48:19",
Bot43,"Макей Краевский",hard,25,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #1","1","01:48:24","01:48:34",
Bot43,"Макей Краевский",hard,25,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #3","1","01:48:39","01:48:45",
Bot43,"Макей Краевский",hard,25,Failed,"OLI Logistics Area","OLI Logistics Area: Objective #4","1","01:48:50","01:53:27",
Bot44,"Михаил Ручкин",hard,39,Failed,"Informed Means Armed","Zone place_skier_11_3","1","01:31:48","01:47:08",
Bot45,"Евдоким Белорусов",hard,15,Failed,"Big Sale","Zone place_SALE_03_TREND","1","01:31:48","01:38:31",
Bot46,"Глеб Краев",hard,10,Failed,"North Construction Site","North Construction Site: Objective #3","1","01:31:49","01:42:00",
Bot47,"Ефрем Толстобров",hard,40,Archived,"IDEA North Bus","IDEA North Bus: Objective #1","1","01:31:50","01:32:04",
Bot47,"Ефрем Толстобров",hard,40,Completed,"Informed Means Armed","Zone place_skier_11_3","2","01:32:09","01:40:00",
Bot47,"Ефрем Толстобров",hard,40,Completed,"ADIK","ADIK: Objective #2","1","01:40:05","01:42:54",
Bot47,"Ефрем Толстобров",hard,40,Completed,"ADIK","ADIK: Objective #1","1","01:42:59","01:44:25",
Bot47,"Ефрем Толстобров",hard,40,Completed,"Hot Delivery","Zone place_merch_020_1","2","01:44:30","01:46:36",
Bot47,"Ефрем Толстобров",hard,40,Failed,"Hot Delivery","Zone place_merch_020_2","1","01:46:41","01:47:13",
Bot48,"Казимир Смирнитский",hard,31,Failed,"IDEA Office","IDEA Office: Objective #3","1","01:31:51","01:42:29",
Bot70,"Фаддей Пасхин",hard,34,Completed,"Big Sale","Zone place_SALE_03_TREND","1","01:36:46","01:37:00",
Bot70,"Фаддей Пасхин",hard,34,Failed,"Big Sale","Zone place_SALE_03_DINO","1","01:37:05","01:41:57",
Bot71,"Михей Глазков",hard,36,Failed,"Minibus","Zone place_merch_21_2","1","01:36:47","01:42:42",
Bot71,"Михей Глазков",hard,36,Failed,"Minibus","Zone place_merch_21_3","1","01:42:47","01:45:26",
Bot73,"Ariel Gallman",hard,19,Failed,"Database - Part 1","Item Goshan cargo manifests","1","01:38:08","01:45:30",
Bot75,"Иван Куклев",hard,40,Failed,"Power Station Stashes","Power Station Stashes: Objective #3","1","01:38:43","01:38:47",
Bot76,"Rodger Mutter",hard,49,Completed,"The Key to Success","Item Clothes design handbook - Part 2","1","01:40:21","01:42:55",
Bot76,"Rodger Mutter",hard,49,Failed,"The Key to Success","Item Clothes design handbook - Part 1","1","01:43:00","01:43:26",
Bot83,"Пантелей Гачев",hard,44,Completed,"Techlight","Techlight: Objective #1","3","01:43:18","01:48:14",
Bot83,"Пантелей Гачев",hard,44,Failed,"Techlight","Techlight: Objective #2","1","01:48:19","01:48:27",
Bot83,"Пантелей Гачев",hard,44,Failed,"Rasmussen","Rasmussen: Objective #2","1","01:48:32","01:50:44",
Bot84,"Феликс Базанов",hard,25,Failed,"Vitamins - Part 1","Item Chemical container #2","1","01:43:19","01:51:08",
Bot85,"Владимир Лягушкин",hard,25,Failed,"Emercom","Emercom: Objective #3","1","01:43:20","01:52:05",
Bot85,"Владимир Лягушкин",hard,25,Failed,"Emercom","Emercom: Objective #2","1","01:52:10","01:52:22",
Bot85,"Владимир Лягушкин",hard,25,Failed,"Emercom","Emercom: Objective #1","1","01:52:28","01:52:40",
Bot85,"Владимир Лягушкин",hard,25,Failed,"KIBA","KIBA: Objective #1","1","01:52:45","01:53:14",
Bot85,"Владимир Лягушкин",hard,25,Failed,"Generic","Generic: Objective #1","1","01:53:19","01:53:36",
Bot86,"Филипп Моисеев",hard,33,Completed,"Goshan South Office","Goshan South Office: Objective #1","3","01:44:14","01:44:46",
Bot86,"Филипп Моисеев",hard,33,Completed,"Goshan South Office","Goshan South Office: Objective #2","1","01:44:51","01:45:29",
