Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot62,"Otha Kendricks",hard,31,Completed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","18:23:22","18:24:40",
Bot62,"Otha Kendricks",hard,31,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","18:24:45","18:27:27",
Bot62,"Otha Kendricks",hard,31,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","18:27:32","18:36:24",
Bot64,"Ray Exley",hard,13,Failed,"Helicopter Crash","Helicopter Crash: Objective #1","1","18:23:24","18:37:11",
Bot63,"Carrol Reamer",hard,51,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","18:23:24","18:36:34",
Bot65,"Ярослав Веренич",hard,2,Failed,"Chalet","Chalet: Objective #9","1","18:23:25","18:24:22",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #7","1","18:24:28","18:26:36",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #3","1","18:26:41","18:27:02",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #6","1","18:27:07","18:27:34",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #5","1","18:27:39","18:27:50",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #2","1","18:27:55","18:28:06",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #4","1","18:28:11","18:28:19",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #8","1","18:28:24","18:28:46",
Bot65,"Ярослав Веренич",hard,2,Completed,"Chalet","Chalet: Objective #1","1","18:28:51","18:29:13",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort Overlook","Resort Overlook: Objective #1","1","18:29:18","18:29:49",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort Overlook","Resort Overlook: Objective #3","1","18:29:50","18:29:52",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort Overlook","Resort Overlook: Objective #2","1","18:29:57","18:30:00",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort Sniping","Resort Sniping: Objective #3","1","18:30:01","18:30:02",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort Sniping","Resort Sniping: Objective #2","1","18:30:03","18:30:03",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort Sniping","Resort Sniping: Objective #1","1","18:30:04","18:30:04",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort","Resort: Objective #1","1","18:30:05","18:30:07",
Bot65,"Ярослав Веренич",hard,2,Failed,"Resort","Resort: Objective #6","1","18:30:12","18:30:17",
Bot94,"Потап Чепурин",hard,29,Completed,"Long Road","Zone qlight_br_secure_road","1","18:36:48","18:40:52",
Bot94,"Потап Чепурин",hard,29,Completed,"Merin Car","Merin Car: Objective #1","1","18:40:57","18:43:57",
Bot94,"Потап Чепурин",hard,29,Archived,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","18:44:03","18:45:13",
Bot94,"Потап Чепурин",hard,29,Failed,"Convenience Store Storage","Convenience Store Storage: Objective #1","1","18:45:18","18:45:54",
Bot94,"Потап Чепурин",hard,29,Completed,"Convenience Store House","Convenience Store House: Objective #1","7","18:45:59","18:52:25",
Bot94,"Потап Чепурин",hard,29,Completed,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","18:52:30","18:54:18",
Bot94,"Потап Чепурин",hard,29,Completed,"Scav Hideout","Scav Hideout: Objective #1","1","18:54:23","18:55:25",
Bot94,"Потап Чепурин",hard,29,Pending,"USEC Camp Entrance","USEC Camp Entrance: Objective #1","2","18:55:30","N/A",
Bot95,"Филат Астахов",hard,32,Pending,"Revision - Lighthouse","Zone qlight_mark_vech1","1","18:36:50","N/A",
Bot99,"Самуил Шереметьев",hard,25,Completed,"USEC Camp Building 2","USEC Camp Building 2: Objective #1","1","18:40:13","18:40:43",
Bot99,"Самуил Шереметьев",hard,25,Completed,"USEC Camp Building 2","USEC Camp Building 2: Objective #2","1","18:40:48","18:41:05",
Bot99,"Самуил Шереметьев",hard,25,Completed,"USEC Camp Building 2","USEC Camp Building 2: Objective #6","1","18:41:10","18:45:11",
Bot99,"Самуил Шереметьев",hard,25,Failed,"USEC Camp Building 2","USEC Camp Building 2: Objective #3","1","18:45:16","18:45:16",
Bot99,"Самуил Шереметьев",hard,25,Failed,"USEC Camp Building 2","USEC Camp Building 2: Objective #7","1","18:45:21","18:47:55",
Bot102,"Raymundo Dupre",hard,35,Completed,"Train Yard","Train Yard: Objective #1","1","18:48:36","18:50:06",
Bot102,"Raymundo Dupre",hard,35,Completed,"Train Yard","Train Yard: Objective #3","1","18:50:11","18:50:26",
Bot102,"Raymundo Dupre",hard,35,Completed,"Train Yard","Train Yard: Objective #2","1","18:50:31","18:52:24",
Bot102,"Raymundo Dupre",hard,35,Completed,"Train Yard","Train Yard: Objective #4","1","18:52:29","18:53:03",
Bot102,"Raymundo Dupre",hard,35,Completed,"USEC Camp Building 3","USEC Camp Building 3: Objective #1","1","18:53:08","18:56:32",
Bot102,"Raymundo Dupre",hard,35,Pending,"USEC Camp Building 3","USEC Camp Building 3: Objective #8","1","18:56:37","N/A",
