Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot162,"Devin Garton",hard,17,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","19:36:53","19:42:11",
Bot163,"Craig Roseboro",hard,36,Failed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #1","1","19:36:53","19:37:33",
Bot164,"Berry Erving",hard,39,Failed,"White Knight","White Knight: Objective #1","1","19:36:55","19:39:39",
Bot165,"Cory Hermes",hard,18,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","19:36:55","19:45:34",
Bot166,"Ян Сучкин",hard,51,Failed,"Command Center","Command Center: Objective #5","1","19:36:57","19:39:41",
Bot167,"Матвей Месяц",hard,24,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","19:36:58","19:37:12",
Bot167,"Матвей Месяц",hard,24,Completed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","19:39:42","19:41:58",
Bot167,"Матвей Месяц",hard,24,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","19:42:03","19:42:22",
Bot167,"Матвей Месяц",hard,24,Failed,"Documents","Item Military documents #1","1","19:42:27","19:43:34",
Bot168,"Георгий Смотров",hard,23,Completed,"BMP #1","BMP #1: Objective #1","1","19:36:59","19:37:11",
Bot169,"Dwight Alcantara",hard,28,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","19:37:00","19:45:32",
Bot169,"Dwight Alcantara",hard,28,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","19:45:37","19:46:29",
Bot170,"Mickey Ingles",hard,10,Completed,"The Bunker - Part 1","Zone prapor_024_area_1","1","19:37:01","19:48:54",
Bot170,"Mickey Ingles",hard,10,Completed,"D2 Switch","D2 Switch: Objective #1","3","19:48:59","19:49:20",
Bot170,"Mickey Ingles",hard,10,Failed,"The Bunker - Part 1","Zone prapor_024_area_2","1","19:49:25","19:50:45",
