Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Сергей Алексеев",normal,2,Failed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","20:27:58","20:33:46",
Bot5,"Родион Воронин",normal,11,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:27:58","20:32:35",
Bot4,"Аскольд Грешнoв",normal,5,Failed,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","20:27:58","20:36:10",
Bot3,"Мартын Хохлачёв",normal,10,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:27:58","20:28:55",
Bot6,"Barton Kinyon",hard,1,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","20:27:58","20:30:08",
Bot6,"Barton Kinyon",hard,1,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","20:30:13","20:30:18",
Bot6,"Barton Kinyon",hard,1,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:30:23","20:31:22",
Bot8,"Reed Hagans",hard,10,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","20:27:58","20:28:34",
Bot8,"Reed Hagans",hard,10,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","20:28:39","20:28:53",
Bot8,"Reed Hagans",hard,10,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","20:28:59","20:29:16",
Bot8,"Reed Hagans",hard,10,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","20:29:21","20:29:47",
Bot8,"Reed Hagans",hard,10,Failed,"Skyside Hotel","Skyside Hotel: Objective #5","1","20:29:52","20:33:13",
Bot7,"Rodney Soltis",hard,7,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:27:58","20:29:48",
Bot1,"Харитон Лубашев",normal,3,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","20:27:59","20:36:25",
