Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot26,"Лаврентий Новокшонов",hard,24,Completed,"Audit","Item Accountant's notes","1","21:09:17","21:11:19",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"Pets Won't Need It - Part 2","Zone Pharma_2","1","21:11:24","21:11:37",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"Pets Won't Need It - Part 2","Zone Pharma_1","1","21:11:43","21:11:43",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"Pets Won't Need It - Part 2","Zone Pharma_3","1","21:11:48","21:11:53",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"Gendarmerie - Tickets Please","Zone quest_zone_kill_cinema","1","21:11:59","21:12:03",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"The Huntsman Path - Administrator","Zone quest_zone_kill_c17_adm","1","21:12:08","21:12:28",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","21:12:33","21:12:33",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","21:12:38","21:12:46",
Bot26,"Лаврентий Новокшонов",hard,24,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #6","1","21:12:51","21:12:56",
Bot28,"Корней Овечкин",hard,35,Failed,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","21:09:17","21:12:56",
Bot28,"Корней Овечкин",hard,35,Failed,"Developer's Secrets - Part 2","Zone Hookah_quest","1","21:13:01","21:13:07",
Bot28,"Корней Овечкин",hard,35,Failed,"Information Source","Zone quest_zone_place_c24_tigr1","1","21:13:12","21:13:29",
Bot28,"Корней Овечкин",hard,35,Failed,"Information Source","Zone quest_zone_place_c24_tigr2","1","21:13:34","21:13:34",
Bot28,"Корней Овечкин",hard,35,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","21:13:39","21:13:49",
Bot28,"Корней Овечкин",hard,35,Failed,"Spotter","Zone quest_zone_keeper8_1_hide2","1","21:13:54","21:14:11",
Bot28,"Корней Овечкин",hard,35,Failed,"Spotter","Zone quest_zone_keeper8_2","1","21:14:16","21:14:16",
Bot28,"Корней Овечкин",hard,35,Failed,"Spotter","Zone quest_zone_keeper8_1_hide1","1","21:14:21","21:14:41",
Bot27,"Мирослав Филенков",hard,30,Failed,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","21:09:17","21:24:14",
Bot29,"Макей Сизов",hard,35,Completed,"Developer's Secrets - Part 2","Zone Hookah_quest","1","21:09:17","21:25:14",
Bot29,"Макей Сизов",hard,35,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","21:25:20","21:25:38",
Bot52,"Waldo Holst",hard,48,Completed,"Pharmancy #2","Pharmancy #2: Objective #1","1","21:25:46","21:26:14",
Bot52,"Waldo Holst",hard,48,Failed,"Lexos Center","Lexos Center: Objective #5","1","21:26:19","21:28:14",
Bot53,"MrBluemananana Melillo",hard,55,Pending,"Russian Real Estate Fund","Russian Real Estate Fund: Objective #4","1","21:26:19","N/A",
Bot54,"Abraham Ugarte",hard,14,Completed,"Cinema Courtyard","Cinema Courtyard: Objective #1","1","21:26:47","21:26:50",
Bot54,"Abraham Ugarte",hard,14,Pending,"Pharmancy #2","Pharmancy #2: Objective #1","1","21:26:55","N/A",
Bot55,"Нестор Дубинкин",hard,33,Active,"Pinewood Hotel Dentist","Pinewood Hotel Dentist: Objective #2","1","21:27:53","N/A",
