Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Глеб Панарин",hard,25,Failed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","20:31:10","20:32:00",
Bot3,"Иван Сабанцев",hard,27,Failed,"Big Red","Big Red: Objective #4","1","20:31:11","20:31:34",
Bot4,"Леонтий Унтилов",hard,14,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","20:31:12","20:33:04",
Bot5,"Кондрат Юрков",easy,35,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","20:31:13","20:34:02",
Bot5,"Кондрат Юрков",easy,35,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","20:34:07","20:34:26",
Bot5,"Кондрат Юрков",easy,35,Failed,"Bullshit","Item Flash drive with fake info","1","20:34:31","20:35:48",
Bot5,"Кондрат Юрков",easy,35,Failed,"Bullshit","Zone Q019_3","1","20:35:53","20:47:20",
Bot6,"Герасим Островерхов",easy,36,Failed,"Big Red","Big Red: Objective #2","1","20:31:14","20:44:41",
Bot7,"Денис Андроников",easy,17,Failed,"BP Depot","Zone fuel4","1","20:31:15","20:47:46",
Bot8,"Фаддей Елисеев",easy,25,Failed,"Farming - Part 3","Zone place_SADOVOD_03","1","20:31:16","20:47:27",
Bot23,"Zane Symonds",hard,34,Completed,"Bullshit","Zone Q019_3","2","20:32:56","20:33:32",
Bot23,"Zane Symonds",hard,34,Failed,"Bullshit","Item Flash drive with fake info","1","20:33:37","20:38:56",
Bot24,"Russ Womac",hard,25,Failed,"Bullshit","Zone Q019_3","2","20:32:57","20:37:17",
Bot26,"Zackary Bahena",hard,20,Failed,"Chemical - Part 4","Zone gazel","1","20:36:13","20:38:07",
Bot27,"Jan Izzo",normal,38,Failed,"Bullshit","Item Flash drive with fake info","1","20:37:53","20:43:57",
Bot27,"Jan Izzo",normal,38,Failed,"Bullshit","Zone Q019_3","1","20:44:02","20:45:36",
Bot28,"gamber Кошелев",normal,11,Failed,"BP Depot","Zone fuel1","1","20:41:29","20:43:13",
Bot28,"gamber Кошелев",normal,11,Failed,"BP Depot","Zone fuel3","1","20:43:18","20:43:45",
Bot29,"Ефрем Баратынский",normal,13,Failed,"Short Cut","Short Cut: Objective #1","1","20:41:30","20:51:40",
Bot29,"Ефрем Баратынский",normal,13,Failed,"The Extortionist","Zone vremyan_case","1","20:46:18","20:46:19",
Bot29,"Ефрем Баратынский",normal,13,Failed,"The Extortionist","Item Secure Folder 0048","1","20:46:24","20:46:24",
Bot29,"Ефрем Баратынский",normal,13,Failed,"The Extortionist","Zone dead_posylni","1","20:46:29","20:51:40",
Bot31,"Elisha Earle",easy,27,Failed,"Bullshit","Item Flash drive with fake info","1","20:44:06","20:45:43",
Bot31,"Elisha Earle",easy,27,Failed,"Bullshit","Zone Q019_3","1","20:45:48","20:46:55",
Bot32,"Вадим Ремизов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","20:46:48","20:49:19",
Bot33,"Александр Сафронов",hard,24,Completed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","20:46:49","20:50:31",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #7","1","20:50:36","20:50:36",
Bot33,"Александр Сафронов",hard,24,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #12","1","20:50:41","20:50:48",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #13","1","20:50:54","20:50:54",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #8","1","20:50:59","20:50:59",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #3","1","20:51:04","20:51:04",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #11","1","20:51:06","20:51:06",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #10","1","20:51:11","20:51:11",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","20:51:13","20:51:13",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","20:51:18","20:51:18",
Bot33,"Александр Сафронов",hard,24,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","20:51:23","20:51:23",
