Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Гордей Тихомиров",easy,38,Failed,"Engineer's Office","Engineer's Office: Objective #1","1","21:09:31","21:09:31",
Bot1,"Гордей Тихомиров",easy,38,Failed,"3rd Floor Hallway","3rd Floor Hallway: Objective #1","1","21:09:36","21:10:08",
Bot2,"Евгений Раткевич",easy,36,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","21:09:32","21:10:13",
Bot3,"Edgardo Probst",hard,10,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","21:09:33","21:10:47",
Bot4,"Sid Graney",hard,15,Failed,"Farming - Part 1","Zone place_SADOVOD_01_2","1","21:09:34","21:09:43",
Bot5,"Эдуард Кадников",normal,62,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","21:09:35","21:11:19",
Bot5,"Эдуард Кадников",normal,62,Completed,"Basement Crates","Basement Crates: Objective #2","1","21:11:24","21:11:38",
Bot5,"Эдуард Кадников",normal,62,Completed,"Basement Crates","Basement Crates: Objective #1","1","21:11:43","21:11:46",
Bot5,"Эдуард Кадников",normal,62,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","21:11:51","21:12:01",
Bot6,"Макей Агапов",normal,18,Completed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","21:09:36","21:14:36",
Bot6,"Макей Агапов",normal,18,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","21:14:41","21:17:39",
Bot6,"Макей Агапов",normal,18,Completed,"Scout","Zone place_pacemaker_SCOUT_01","1","21:17:44","21:21:17",
Bot7,"Астап Капица",normal,50,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","21:09:37","21:12:37",
Bot18,"Randell Villegas",hard,10,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","21:13:07","21:13:41",
Bot25,"Дмитрий Манторов",normal,22,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","21:16:10","21:18:48",
Bot25,"Дмитрий Манторов",normal,22,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","21:17:35","21:18:48",
Bot26,"Богдан Лихачёв",normal,36,Completed,"Weapon Crates outside Office","Weapon Crates outside Office: Objective #1","1","21:17:12","21:17:47",
Bot26,"Богдан Лихачёв",normal,36,Failed,"3rd Floor Hallway","3rd Floor Hallway: Objective #1","1","21:17:52","21:19:47",
Bot27,"Филат Шелепов",normal,23,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","21:17:13","21:17:21",
Bot28,"Аркадий Труфанов",normal,45,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","21:17:14","21:17:56",
Bot29,"Фома Мирский",normal,20,Failed,"Postman Pat - Part 1","Item Sealed letter","1","21:17:15","21:20:15",
Bot38,"Аркадий Попырин",easy,20,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","21:19:16","21:19:44",
Bot38,"Аркадий Попырин",easy,20,Completed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","21:19:49","21:21:08",
Bot38,"Аркадий Попырин",easy,20,Failed,"Scout","Zone place_pacemaker_SCOUT_01","1","21:21:13","21:21:20",
Bot49,"Geraldo Kowalewski",hard,40,Pending,"1st Floor Office","1st Floor Office: Objective #2","1","21:24:53","N/A",
Bot50,"Dion Grote",hard,19,Pending,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","21:24:54","N/A",
Bot51,"Rashad Veliz",hard,35,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","21:24:54","21:25:53",
Bot52,"Lawrence Craine",hard,40,Active,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","21:25:50","N/A",
