Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Давид Митрофанов",hard,41,Completed,"Conference Room","Conference Room: Objective #4","1","21:06:44","21:06:52",
Bot1,"Давид Митрофанов",hard,41,Failed,"Conference Room","Conference Room: Objective #2","1","21:06:57","21:08:12",
Bot2,"Василий Механтьев",hard,67,Failed,"Red Room","Red Room: Objective #1","1","21:06:45","21:06:50",
Bot2,"Василий Механтьев",hard,67,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","21:06:55","21:08:33",
Bot3,"Пахом Юдашкин",hard,59,Completed,"Boss Hunter","Spawn Point (-213.1 0.1 -378.8)","1","21:06:45","21:06:58",
Bot4,"Bert Oles",hard,36,Failed,"Green Room","Green Room: Objective #7","1","21:06:46","21:08:58",
Bot5,"Santiago Vivian",hard,69,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","21:06:47","21:07:59",
Bot6,"Феликс Тухачевский",hard,45,Completed,"Boss Hunter","Spawn Point (-279.6 0.1 -365.4)","1","21:06:48","21:11:41",
Bot6,"Феликс Тухачевский",hard,45,Completed,"Boss Hunter","Spawn Point (-244.8 -4.0 -414.8)","1","21:11:46","21:13:15",
Bot6,"Феликс Тухачевский",hard,45,Completed,"Boss Hunter","Spawn Point (-279.7 0.1 -353.0)","1","21:13:20","21:14:16",
Bot6,"Феликс Тухачевский",hard,45,Completed,"Boss Hunter","Spawn Point (-213.1 0.1 -378.8)","1","21:14:21","21:14:40",
Bot6,"Феликс Тухачевский",hard,45,Failed,"Boss Hunter","Spawn Point (-184.6 0.1 -416.5)","1","21:14:45","21:15:17",
Bot7,"Ефим Волков",hard,56,Failed,"Conference Room","Conference Room: Objective #1","1","21:06:49","21:11:30",
Bot8,"Иосиф Чупахин",hard,46,Completed,"Main Working Area West","Main Working Area West: Objective #2","1","21:06:50","21:16:16",
Bot8,"Иосиф Чупахин",hard,46,Completed,"Main Working Area West","Main Working Area West: Objective #6","1","21:16:21","21:16:35",
Bot8,"Иосиф Чупахин",hard,46,Failed,"Main Working Area West","Main Working Area West: Objective #5","1","21:16:40","21:17:36",
Bot13,"Демид Вартанов",hard,45,Failed,"Boss Hunter","Spawn Point (-213.1 0.1 -378.8)","1","21:08:41","21:13:00",
Bot14,"Андрей Павленко",hard,49,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","21:08:42","21:09:18",
Bot15,"Борис Фомин",hard,37,Failed,"Blue Room","Blue Room: Objective #1","1","21:08:43","21:13:18",
Bot15,"Борис Фомин",hard,37,Failed,"Blue Room","Blue Room: Objective #2","1","21:13:24","21:14:30",
Bot16,"Астап Царёв",hard,42,Failed,"Weapons Testing Area Room","Weapons Testing Area Room: Objective #1","1","21:09:02","21:10:41",
Bot16,"Астап Царёв",hard,42,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","21:10:46","21:11:02",
Bot17,"Kelley Aron",hard,61,Failed,"Red Room","Red Room: Objective #1","1","21:09:45","21:15:12",
Bot18,"Tad Kahl",hard,42,Failed,"Red Room","Red Room: Objective #1","1","21:09:46","21:09:47",
Bot18,"Tad Kahl",hard,42,Failed,"Security Office Inside Camping","Security Office Inside Camping: Objective #1","1","21:09:52","21:12:18",
Bot19,"Elliott Hogle",hard,55,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","21:11:36","21:13:51",
Bot20,"Spencer Drakeford",hard,35,Failed,"TerraGroup Employee","Item Flash drive marked with blue tape","1","21:11:36","21:11:39",
Bot20,"Spencer Drakeford",hard,35,Failed,"Green Room","Green Room: Objective #1","1","21:11:44","21:15:15",
Bot24,"Трофим Распутин",hard,70,Failed,"Violet Room","Violet Room: Objective #1","1","21:12:50","21:13:19",
Bot24,"Трофим Распутин",hard,70,Failed,"Red Room","Red Room: Objective #1","1","21:13:24","21:13:31",
Bot24,"Трофим Распутин",hard,70,Failed,"Cafeteria","Cafeteria: Objective #1","1","21:13:36","21:17:11",
Bot25,"Jonathon Neeley",hard,45,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","21:13:57","21:24:19",
Bot26,"Chang Perillo",hard,62,Failed,"Black Room","Black Room: Objective #2","1","21:13:58","21:16:25",
Bot27,"Илья Королёв",hard,43,Failed,"TerraGroup Employee","Zone peace_027_area","1","21:14:00","21:17:06",
Bot30,"Григорий Праздников",hard,62,Failed,"Violet Room","Violet Room: Objective #1","1","21:15:51","21:16:06",
Bot30,"Григорий Праздников",hard,62,Failed,"Admin Office","Admin Office: Objective #1","1","21:16:11","21:18:14",
Bot31,"Тимур Потёмкин",hard,67,Failed,"Security Office","Security Office: Objective #1","1","21:15:52","21:17:23",
Bot32,"Мирослав Бенедиктов",hard,39,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","21:15:53","21:18:36",
Bot37,"Jospeh Predmore",hard,44,Failed,"Main Working Area West","Main Working Area West: Objective #3","1","21:17:01","21:17:42",
Bot38,"Елизар Андроников",hard,59,Failed,"Green Room","Green Room: Objective #1","1","21:18:51","21:20:02",
Bot39,"Евгений Безродный",hard,48,Failed,"TerraGroup Employee","Item Flash drive marked with blue tape","1","21:18:52","21:18:56",
Bot39,"Евгений Безродный",hard,48,Failed,"TerraGroup Employee","Zone peace_027_area","1","21:19:01","21:20:49",
